"Name","Max","TB2_SN3.report","Lineage"
"Alteromonas sp. CI.11.F.A3","3","3","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Alteromonadaceae>Alteromonas/Salinimonas&nbsp;group>Alteromonas>unclassified&nbsp;Alteromonas"
"Alteromonas gracilis","3","3","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Alteromonadaceae>Alteromonas/Salinimonas&nbsp;group>Alteromonas"
"Paraglaciecola psychrophila","3","3","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Alteromonadaceae>Paraglaciecola"
"Polaribacter sp. SA4-10","3","3","cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Polaribacter>unclassified&nbsp;Polaribacter"
"Polaribacter sp. KT25b","3","3","cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Polaribacter>unclassified&nbsp;Polaribacter"
"Polaribacter batillariae","3","3","cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Polaribacter"
"Polaribacter haliotis","3","3","cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Polaribacter"
"Formosa sp. Hel1_33_131","3","3","cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Formosa>unclassified&nbsp;Formosa"
"Anaerococcus nagyae","3","3","cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Tissierellia>Tissierellales>Peptoniphilaceae>Anaerococcus"
"Ehrlichia ruminantium","2","2","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rickettsiales>Anaplasmataceae>Ehrlichia>canis&nbsp;group"
"Candidatus Puniceispirillum marinum","2","2","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Candidatus&nbsp;Puniceispirillales>Candidatus&nbsp;Puniceispirillaceae>Candidatus&nbsp;Puniceispirillum"
"Kordiimonas sp. SCSIO 12603","2","2","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Kordiimonadales>Kordiimonadaceae>Kordiimonas>unclassified&nbsp;Kordiimonas"
"Vibrio sp. ED004","2","2","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio>unclassified&nbsp;Vibrio"
"Vibrio sp. FE10","2","2","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio>unclassified&nbsp;Vibrio"
"Vibrio lentus","2","2","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio"
"Vibrio celticus","2","2","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio"
"Vibrio aphrogenes","2","2","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio"
"Vibrio echinoideorum","2","2","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio"
"Paraphotobacterium marinum","2","2","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Paraphotobacterium"
"Alteromonas sp. RKMC-009","2","2","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Alteromonadaceae>Alteromonas/Salinimonas&nbsp;group>Alteromonas>unclassified&nbsp;Alteromonas"
"Alteromonas naphthalenivorans","2","2","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Alteromonadaceae>Alteromonas/Salinimonas&nbsp;group>Alteromonas"
"Paraglaciecola sp. L3A3","2","2","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Alteromonadaceae>Paraglaciecola>unclassified&nbsp;Paraglaciecola"
"Aliiglaciecola sp. LCG003","2","2","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Alteromonadaceae>Aliiglaciecola>unclassified&nbsp;Aliiglaciecola"
"Pseudoalteromonas sp. MM1","2","2","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Pseudoalteromonadaceae>Pseudoalteromonas>unclassified&nbsp;Pseudoalteromonas"
"Thiomicrorhabdus sediminis","2","2","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Thiotrichales>Piscirickettsiaceae>Thiomicrorhabdus"
"Polaribacter sp. SA4-12","2","2","cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Polaribacter>unclassified&nbsp;Polaribacter"
"Polaribacter sp. Hel1_33_78","2","2","cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Polaribacter>unclassified&nbsp;Polaribacter"
"Polaribacter sp. ALD11","2","2","cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Polaribacter>unclassified&nbsp;Polaribacter"
"Polaribacter sp. Q13","2","2","cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Polaribacter>unclassified&nbsp;Polaribacter"
"Polaribacter cellanae","2","2","cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Polaribacter"
"Polaribacter dokdonensis","2","2","cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Polaribacter"
